ticker,close,volume,trading_value,change_5d,vol_ratio,trading_value_score,momentum_score,volume_score,final_score,name
053700,6640.0,15880131.0,105444069840.0,66.0,12.273493692264624,5.396016633772432,76.84671176256087,70.20960854189794,46.27530274484661,삼보모터스
080220,26450.0,21167813.0,559888653850.0,34.94897959183674,12.644926078529638,28.674302090152715,43.23440433856624,72.42486807338554,46.16750255964661,제주반도체
000660,649000.0,3008208.0,1952326992000.0,11.13013698630137,0.9702292609652556,100.0,17.450831057653442,2.795820207094378,46.073995379424346,SK하이닉스
005930,120200.0,14932506.0,1794887221200.0,7.802690582959642,0.8000085527081224,91.93536889684036,13.848915565801072,1.7806070475339244,41.46300434273665,삼성전자
489500,37100.0,2268411.0,84158048100.0,64.15929203539822,8.183599041667824,4.30567007067304,74.85417041703637,45.817071858114176,37.92364071081438,엘케이켐
232680,14520.0,8592016.0,124756072320.0,42.91338582677165,10.100048125605245,6.385246833188499,51.855765804285845,57.24696396443676,35.28491766389218,라온테크
452160,7070.0,1058724.0,7485178680.0,28.545454545454547,13.484052765811116,0.3782100372198611,36.30267553780637,77.42950272794043,34.270937494611985,제이엔비
396470,7310.0,3100989.0,22668229590.0,5.788712011577424,17.268446215782834,1.1559404924120769,11.668811144213697,100.0,33.96301954022894,워트
071670,10550.0,1754969.0,18514922950.0,87.38898756660745,1.9901872396692717,0.943193193939108,100.0,8.878950589884367,33.04096245454095,에이테크솔루션
032940,10580.0,4845346.0,51263760680.0,46.13259668508287,8.97194583072249,2.6207064042777346,55.34051779020679,50.51885017134116,32.80609295017548,원익
254490,16390.0,1606224.0,26326011360.0,12.26027397260274,15.006523564010106,1.3433052254844162,18.674188980048868,86.5096693257865,32.092479581944374,미래반도체
030530,49300.0,12153715.0,599178149500.0,40.45584045584046,1.2264978283622163,30.686851314763537,49.19550635289475,4.324231319155398,28.33066182752046,원익홀딩스
308170,6810.0,1046112.0,7124022720.0,50.83056478405316,6.091695828654168,0.3597103304856115,60.42600438404492,33.34075395224468,28.273911633081124,씨티알모빌리티
004440,5930.0,5240700.0,31077351000.0,28.633405639913235,9.500408698674054,1.586685924323818,36.397881401780005,53.67065504500584,27.65523530376528,삼일씨엔에스
102120,12070.0,2749353.0,33184690710.0,12.27906976744186,11.10803245197625,1.694631440782798,18.694535172415694,63.25868229906331,25.26381781775682,어보브반도체
486990,46150.0,11978242.0,552795868300.0,21.128608923884517,3.332022304459404,28.310984113608946,28.27404099145244,16.881787786853383,24.871142278935324,노타
101170,17140.0,3208940.0,55001231600.0,60.78799249530957,0.9370698795477668,2.81215310211926,71.20478450088011,2.598054372827803,23.265712902960075,우림피티에스
488900,18760.0,11792136.0,221220471360.0,42.12121212121212,1.3903750522335256,11.32650017021118,50.99824853836464,5.301611309697272,21.420558022503045,비츠로넥스텍
270660,23300.0,2745671.0,63974134300.0,12.289156626506024,8.378559121006415,3.2717774386661542,18.70545406021231,46.97983307653481,21.0142971164906,에브리봇
049070,19740.0,1782815.0,35192768100.0,27.684346701164294,5.0542960871776526,1.797492384333826,35.37053800393364,27.153599169169475,19.476238105664464,인탑스
352910,6140.0,332275.0,2040168500.0,45.15366430260047,1.6851144713943862,0.0992970393698362,54.280836795676514,7.059466391120781,18.441809771787124,오비고
388050,8090.0,2332090.0,18866608100.0,-0.1234567901234567,9.696823789066464,0.96120777173478,5.268968797870823,54.84209409342887,18.41780197608382,지투파워
253590,10740.0,1992998.0,21404798520.0,11.526479750778815,7.263567541405657,1.091223010596356,17.87986671154743,40.329912887624126,17.89942308399001,네오셈
432720,14970.0,996961.0,14924506170.0,10.47970479704797,7.395348388685638,0.7592791378517356,16.746747056024322,41.11586690994301,17.662495844930895,퀄리타스반도체
172670,12950.0,400210.0,5182719500.0,19.24493554327809,5.325287497796155,0.2602697999949768,26.234990167258164,28.76981877608223,16.605550603000108,에이엘티
079430,6890.0,256287.0,1765817430.0,9.713375796178344,6.86835038671605,0.0852437911907736,15.917206331546849,37.9727986420481,16.20109900855479,현대리바트
033920,9410.0,496698.0,4673928180.0,9.164733178654291,6.631340318497869,0.2342076793285153,15.323308157389734,36.55924712609537,15.658449656776938,무학
002230,9620.0,794766.0,7645648920.0,36.64772727272727,1.013023478664702,0.3864298998508825,45.07327560705696,3.051049159002774,14.591869389758276,피에스텍
045970,5840.0,1446465.0,8447355600.0,12.959381044487428,5.132182168668201,0.4274961983743483,19.43096288034552,27.61811947157804,14.285723184926807,코아시아
131970,53300.0,785887.0,41887777100.0,18.5761957730812,3.703731456883263,2.1404348158616395,25.51108845816651,19.09869797911814,14.23910985753005,두산테스나
007810,47800.0,1280520.0,61208856000.0,27.807486631016044,1.582490818946908,3.1301299421425357,35.50383530379493,6.447408765972977,13.837425197787386,코리아써키트
332570,6340.0,4611023.0,29233885820.0,28.08080808080808,1.8593278891844491,1.492257009998825,35.7997020571325,8.098492465699833,13.766361160849227,PS일렉트로닉스
217330,9040.0,1171954.0,10594464160.0,35.32934131736527,0.6718543270922763,0.5374788183111673,43.646140735075285,1.0162825559335655,13.613718514627122,싸이토젠
435570,14570.0,1335894.0,19463975580.0,24.743150684931507,2.3927952520022893,0.9918070817740708,32.186733304689206,11.28014464229972,13.436786216806306,에르코스
090710,7480.0,24320617.0,181918215160.0,20.064205457463885,1.2008716526965435,9.313297304351387,27.121838710618857,4.171394269942212,13.113288815908875,휴림로봇
127120,17770.0,2194440.0,38995198800.0,3.6151603498542273,5.484730188635388,1.9922665556566737,9.315971021878532,29.720750772506555,12.507923160578194,제이에스링크
464080,14230.0,1589395.0,22617090850.0,29.363636363636363,0.967629895924971,1.1533209822903028,37.18834623203644,2.780317336601018,12.451927463507358,에스오에스랩
054450,15960.0,2268129.0,36199338840.0,15.48480463096961,3.1620654585605474,1.8490525565576947,22.164699577202352,15.868148328525749,12.149475394341508,텔레칩스
002600,159800.0,838.0,133912400.0,3.56448476992871,5.31557247066286,0.0016517483704175,9.261115395591354,28.71187739226241,11.392558535704296,조흥
087600,6290.0,42636.0,268180440.0,6.791171477079796,4.714468162744025,0.0085294401127399,12.753959886240244,25.126831777566423,11.367649275187096,픽셀플러스
025950,19650.0,1868511.0,36716241150.0,9.837898267188374,3.6980281422540022,1.8755301512933769,16.052000213415035,19.06468284591829,11.285216978317347,동신건설
028300,50700.0,1524429.0,77288550300.0,8.798283261802576,3.3877604038478486,3.953789695470114,14.926631104629209,17.21421533087793,11.223769808840183,HLB
402340,365500.0,431013.0,157535251500.0,16.03174603174603,1.1449047035038604,8.064314241682661,22.756756207359803,3.837601843024131,11.204033111788243,SK스퀘어
471820,6450.0,3577633.0,23075732850.0,6.260296540362438,4.273968200588896,1.1768142744846493,12.179294984988031,22.499646384293165,10.87440812057822,셀로맥스사이언스
200710,33900.0,894832.0,30334804800.0,20.426287744227352,1.6033779392008571,1.5486500382854669,27.5137878631909,6.571981619442127,10.845190860104095,에이디테크놀로지
475830,119900.0,287365.0,34455063500.0,25.945378151260503,0.5255530546782571,1.759704502454466,33.48812819157663,0.1437272802805692,10.793438442538944,오름테라퓨틱
304360,37850.0,222221.0,8411064850.0,23.28990228013029,1.2321208273613649,0.4256372556833127,30.613611664771494,4.357767441984283,10.661668634300058,에스바이오메딕스
033240,25700.0,708304.0,18203412800.0,14.476614699331847,2.3005951046938637,0.9272365240845052,21.073347683495328,10.730253833952649,9.911975064868194,자화전자
125490,19640.0,6205730.0,121880537200.0,17.113893858079905,0.6245261537516944,6.237951585938433,23.9281665165482,0.7340126436222147,9.893834382426498,한라캐스트
318060,24350.0,1725108.0,42006379800.0,12.211981566820276,2.412690882599378,2.146510072567607,18.621913107370048,11.398804153276531,9.864819207221018,그래피
394280,14320.0,526377.0,7537718640.0,18.34710743801653,1.6490928574774075,0.3809013228678377,25.263103450130497,6.844629918804608,9.784680539827669,오픈엣지테크놀로지
119830,5570.0,311470.0,1734887900.0,7.321772639691715,3.5931721998965203,0.0836594694633178,13.328328430745534,18.439311622702466,9.563755803819726,아이텍
043260,9690.0,3819605.0,37011972450.0,19.482120838471022,0.8840653789053983,1.8906785717213224,26.491740024547237,2.2819302824099856,9.388372520775697,성호전자
041920,9170.0,1411513.0,12943574210.0,16.075949367088608,1.637559598093325,0.6578086808211988,22.8046057168822,6.775844417796956,9.137258512732226,메디아나
